Familia,G‚nero
Anacardiaceae,Amphipterygium
Anacardiaceae,Anacardium*
Anacardiaceae,Comocladia
Anacardiaceae,Mangifera*
Anacardiaceae,Metopium*
Anacardiaceae,Pistacia
Anacardiaceae,Pseudosmodingium
Anacardiaceae,Schinus*
Anacardiaceae,Tapirira
Anacardiaceae,Toxicodendron
Apocynaceae,Thevetia*
Apocynaceae,Gonolobus
Araceae,Monstera
Araceae,Philodendron
Asteraceae,Gymnosperma
Asteraceae,Grindelia
Asteraceae,Gutierrezia
Asteraceae,Haplopappus
Asteraceae,Heterotheca
Asteraceae,Brickellia
Asteraceae,Tagetes*
Asteraceae,Balsamorhiza
Asteraceae,Flourensia
Asteraceae,Helianthus*
Asteraceae,Partenium
Asteraceae,Silphium
Berneridaceae,Podophyllum
Betulaceae,Alnus*
Betulaceae,Ostrya
Burseraceae,Protium*
Burseraceae,Bursera*
Burseraceae,Dacryoides
Burseraceae,Tetragastris
Burseraceae,Trattinnickia
Clusiaceae,Clusia
Clusiaceae,Monorobea
Clusiaceae,Symphonia
Convolvulaceae,Convolvulus
Taxodiaceae,Taxodium
Dracaenaceae,Dracaena
Euphorbiaceae,Dalechampia
Euphorbiaceae,Ricinus*
Hammaelidaceae,Liquidambar
Humiricaceae,Humiria
Hydrophyllaceae,Eriodictyon
Fabaceae,Eperua
Fabaceae,Hymenanea
Fabaceae,Prioria
Fabaceae,Acacia*
Fabaceae,Myroxylon*
Fabaceae,Havardia
Fabaceae,Prosopis*
Fabaceae,Parkinsonia*
Fabaceae,Swartzia
Fabaceae,Aplopanesia
Fabaceae,Ateleia
Moraceae,Ficus*
Moraceae,Castilla
Pinaceae,Pinus
Piperaceae,Piper
Podocarpaceae,Prummopitys
Podocarpaceae,Retrophyllum
Podocarpaceae,Saxegothaea
Rosaceae,Prunus
Rubiaceae,Carphalea
Rubiaceae,Coutarea
Rutaceae,Amyris
Rutaceae,Xanthoxylon*
Salicaceae,Populus
Salicaceae,Salix*
Sapotaceae,Manilkara
Scrophulariaceae,Mimulus
Styracaceae,Styrax
Zygophyllaceae,Guaicacum*
Zygophyllaceae,Larrea*
Zygophyllaceae,Methame
Zygophyllaceae,Pintoa
Zygophyllaceae,Plectocarpa
Zygophyllaceae,Porlieria
Zygophyllaceae,Sericoides
